date,value
1990-01-01,98.82642
1990-02-01,99.03892
1990-03-01,99.20686
1990-04-01,99.2597
1990-05-01,99.18343
1990-06-01,98.98992
1990-07-01,98.68245
1990-08-01,98.3827
1990-09-01,98.06229
1990-10-01,97.7317
1990-11-01,97.40628
1990-12-01,97.14877
1991-01-01,96.97387
1991-02-01,96.99493
1991-03-01,97.24443
1991-04-01,97.69718
1991-05-01,98.30886
1991-06-01,99.02848
1991-07-01,99.56333
1991-08-01,99.94424
1991-09-01,100.0572
1991-10-01,99.77213
1991-11-01,99.27264
1991-12-01,98.94275
1992-01-01,99.06855
1992-02-01,99.57008
1992-03-01,99.98627
1992-04-01,100.1696
1992-05-01,100.2912
1992-06-01,100.2138
1992-07-01,100.0575
1992-08-01,99.81163
1992-09-01,99.55763
1992-10-01,99.6041
1992-11-01,99.92116
1992-12-01,100.2268
1993-01-01,100.4011
1993-02-01,100.3133
1993-03-01,100.0018
1993-04-01,99.62968
1993-05-01,99.41878
1993-06-01,99.29132
1993-07-01,99.30216
1993-08-01,99.41178
1993-09-01,99.6084
1993-10-01,99.90913
1993-11-01,100.1855
1993-12-01,100.4386
1994-01-01,100.6118
1994-02-01,100.7356
1994-03-01,100.844
1994-04-01,100.9606
1994-05-01,101.0793
1994-06-01,101.1583
1994-07-01,101.179
1994-08-01,101.1994
1994-09-01,101.2671
1994-10-01,101.2881
1994-11-01,101.1809
1994-12-01,100.9439
1995-01-01,100.7182
1995-02-01,100.3381
1995-03-01,99.84444
1995-04-01,99.35561
1995-05-01,98.89627
1995-06-01,98.75338
1995-07-01,98.87215
1995-08-01,98.82167
1995-09-01,98.73958
1995-10-01,98.58495
1995-11-01,98.44193
1995-12-01,98.36424
1996-01-01,98.34098
1996-02-01,98.44072
1996-03-01,98.67973
1996-04-01,99.01083
1996-05-01,99.30595
1996-06-01,99.55668
1996-07-01,99.53486
1996-08-01,99.53878
1996-09-01,99.55099
1996-10-01,99.6553
1996-11-01,99.91382
1996-12-01,100.1297
1997-01-01,100.1424
1997-02-01,100.0995
1997-03-01,100.1333
1997-04-01,100.2492
1997-05-01,100.4466
1997-06-01,100.581
1997-07-01,100.6983
1997-08-01,100.6345
1997-09-01,100.5185
1997-10-01,100.5264
1997-11-01,100.465
1997-12-01,100.3182
1998-01-01,100.1534
1998-02-01,100.0024
1998-03-01,99.87062
1998-04-01,99.68953
1998-05-01,99.44782
1998-06-01,99.21769
1998-07-01,99.10845
1998-08-01,99.05366
1998-09-01,98.98673
1998-10-01,98.91798
1998-11-01,98.86853
1998-12-01,98.93916
1999-01-01,99.2489
1999-02-01,99.55432
1999-03-01,99.78156
1999-04-01,99.96465
1999-05-01,100.1734
1999-06-01,100.3079
1999-07-01,100.3333
1999-08-01,100.4772
1999-09-01,100.7173
1999-10-01,100.9027
1999-11-01,101.002
1999-12-01,100.9614
2000-01-01,100.8053
2000-02-01,100.6102
2000-03-01,100.417
2000-04-01,100.2272
2000-05-01,99.99604
2000-06-01,99.77863
2000-07-01,99.62845
2000-08-01,99.41608
2000-09-01,99.22309
2000-10-01,98.97842
2000-11-01,98.60701
2000-12-01,98.05298
2001-01-01,97.60673
2001-02-01,97.43987
2001-03-01,97.49767
2001-04-01,97.5994
2001-05-01,97.71287
2001-06-01,97.96347
2001-07-01,98.25486
2001-08-01,98.46142
2001-09-01,98.31409
2001-10-01,97.9914
2001-11-01,98.13379
2001-12-01,98.5713
2002-01-01,99.17805
2002-02-01,99.8114
2002-03-01,100.2368
2002-04-01,100.403
2002-05-01,100.4149
2002-06-01,100.2348
2002-07-01,99.84805
2002-08-01,99.57523
2002-09-01,99.44056
2002-10-01,99.37789
2002-11-01,99.45414
2002-12-01,99.64391
2003-01-01,99.576
2003-02-01,99.20768
2003-03-01,98.82608
2003-04-01,98.77409
2003-05-01,99.05656
2003-06-01,99.41449
2003-07-01,99.81785
2003-08-01,100.2185
2003-09-01,100.5456
2003-10-01,101.0137
2003-11-01,101.5524
2003-12-01,101.9581
2004-01-01,102.1086
2004-02-01,102.1115
2004-03-01,102.1088
2004-04-01,102.1198
2004-05-01,102.0653
2004-06-01,101.9119
2004-07-01,101.7041
2004-08-01,101.408
2004-09-01,101.1189
2004-10-01,100.9361
2004-11-01,100.8982
2004-12-01,100.8997
2005-01-01,100.7508
2005-02-01,100.5531
2005-03-01,100.3384
2005-04-01,100.112
2005-05-01,100.0
2005-06-01,100.1444
2005-07-01,100.3713
2005-08-01,100.534
2005-09-01,100.8182
2005-10-01,100.9365
2005-11-01,100.8411
2005-12-01,100.6277
2006-01-01,100.4539
2006-02-01,100.3756
2006-03-01,100.3438
2006-04-01,100.3271
2006-05-01,100.1884
2006-06-01,100.0563
2006-07-01,99.99863
2006-08-01,99.91028
2006-09-01,99.72649
2006-10-01,99.5332
2006-11-01,99.3963
2006-12-01,99.3778
2007-01-01,99.36252
2007-02-01,99.47536
2007-03-01,99.60925
2007-04-01,99.79961
2007-05-01,99.91326
2007-06-01,99.92334
2007-07-01,99.79557
2007-08-01,99.61118
2007-09-01,99.45094
2007-10-01,99.33586
2007-11-01,99.23241
2007-12-01,99.14535
2008-01-01,99.13264
2008-02-01,99.03803
2008-03-01,99.01328
2008-04-01,99.08108
2008-05-01,99.22625
2008-06-01,99.32801
2008-07-01,99.23627
2008-08-01,98.80284
2008-09-01,97.92882
2008-10-01,96.97589
2008-11-01,96.22255
2008-12-01,95.79787
2009-01-01,95.83675
2009-02-01,96.06279
2009-03-01,96.45823
2009-04-01,97.06013
2009-05-01,97.71999
2009-06-01,98.38803
2009-07-01,99.07358
2009-08-01,99.6423
2009-09-01,99.9725
2009-10-01,100.2061
2009-11-01,100.3296
2009-12-01,100.5614
2010-01-01,100.8952
2010-02-01,101.1344
2010-03-01,101.334
2010-04-01,101.2729
2010-05-01,100.9857
2010-06-01,100.6463
2010-07-01,100.4564
2010-08-01,100.4313
2010-09-01,100.5451
2010-10-01,100.7784
2010-11-01,101.0263
2010-12-01,101.2197
2011-01-01,101.3655
2011-02-01,101.4195
2011-03-01,101.3179
2011-04-01,101.0561
2011-05-01,100.6353
2011-06-01,100.3688
2011-07-01,100.0838
2011-08-01,99.89833
2011-09-01,99.77426
2011-10-01,99.68117
2011-11-01,99.69808
2011-12-01,99.81861
2012-01-01,99.95617
2012-02-01,100.0671
2012-03-01,100.1241
2012-04-01,100.0934
2012-05-01,99.90049
2012-06-01,99.61568
2012-07-01,99.44756
2012-08-01,99.4297
2012-09-01,99.43368
2012-10-01,99.34209
2012-11-01,99.28816
2012-12-01,99.4594
2013-01-01,99.77489
2013-02-01,99.9356
2013-03-01,99.79563
2013-04-01,99.57814
2013-05-01,99.55011
2013-06-01,99.77454
2013-07-01,100.0942
2013-08-01,100.3726
2013-09-01,100.5062
2013-10-01,100.5452
2013-11-01,100.5154
2013-12-01,100.3794
2014-01-01,100.199
2014-02-01,100.2495
2014-03-01,100.3578
2014-04-01,100.4506
2014-05-01,100.5118
2014-06-01,100.5569
2014-07-01,100.6601
2014-08-01,100.7984
2014-09-01,100.8146
2014-10-01,100.8334
2014-11-01,100.7355
2014-12-01,100.4709
2015-01-01,100.2009
2015-02-01,99.98762
2015-03-01,99.84135
2015-04-01,99.80164
2015-05-01,99.86176
2015-06-01,99.85343
2015-07-01,99.71892
2015-08-01,99.51942
2015-09-01,99.30373
2015-10-01,99.10832
2015-11-01,98.95155
2015-12-01,98.89609
2016-01-01,98.98419
2016-02-01,99.20454
2016-03-01,99.44843
2016-04-01,99.57745
2016-05-01,99.68911
2016-06-01,99.7663
2016-07-01,99.67638
2016-08-01,99.51491
2016-09-01,99.56263
2016-10-01,99.73806
2016-11-01,100.015
2016-12-01,100.3356
2017-01-01,100.6217
2017-02-01,100.7861
2017-03-01,100.735
2017-04-01,100.5796
2017-05-01,100.5768
2017-06-01,100.7531
2017-07-01,100.9291
2017-08-01,101.1861
2017-09-01,101.3573
2017-10-01,101.3252
2017-11-01,101.293
2017-12-01,101.3516
2018-01-01,101.4013
2018-02-01,101.4252
2018-03-01,101.3066
2018-04-01,101.1819
2018-05-01,101.2266
2018-06-01,101.3374
2018-07-01,101.3969
2018-08-01,101.4961
2018-09-01,101.4086
2018-10-01,101.2012
2018-11-01,100.9887
2018-12-01,100.6761
2019-01-01,100.5258
2019-02-01,100.362
2019-03-01,100.2309
2019-04-01,100.0109
2019-05-01,99.80872
2019-06-01,99.62655
2019-07-01,99.40843
2019-08-01,99.13414
2019-09-01,98.92642
2019-10-01,98.8601
2019-11-01,98.88178
2019-12-01,98.98692
2020-01-01,99.15387
2020-02-01,99.03934
2020-03-01,98.63115
2020-04-01,98.18549
2020-05-01,98.41359
2020-06-01,99.24374
2020-07-01,99.94762
2020-08-01,100.4147
2020-09-01,100.7143
2020-10-01,100.9829
2020-11-01,101.1468
2020-12-01,101.3619
2021-01-01,101.5407
2021-02-01,101.7788
2021-03-01,101.9768
2021-04-01,101.935
2021-05-01,101.8528
2021-06-01,101.7171
2021-07-01,101.5841
2021-08-01,101.5373
2021-09-01,101.5773
2021-10-01,101.5794
2021-11-01,101.498
2021-12-01,101.2974
2022-01-01,101.1222
2022-02-01,101.0105
2022-03-01,100.8473
2022-04-01,100.6536
2022-05-01,100.4397
2022-06-01,100.1548
2022-07-01,99.94544
2022-08-01,99.7755
2022-09-01,99.54729
2022-10-01,99.31562
2022-11-01,99.09515
2022-12-01,98.91479
2023-01-01,98.77238
2023-02-01,98.68208
2023-03-01,98.59528
2023-04-01,98.55729
2023-05-01,98.5284
2023-06-01,98.53253
2023-07-01,98.5976
2023-08-01,98.70704
2023-09-01,98.75687
2023-10-01,98.68998
2023-11-01,98.66783
2023-12-01,98.76071
2024-01-01,98.96989
